Projektstrukturplan;;;;;;
;;;Name;Verantwortlicher;Aufwandsabschätzung;Beschreibung
Organisation;;;;;;
;Allgemein;;;;;
;;;Projektplan erstellen;Erik Hennig;30;Erstellung des Projektplans. Dazu zählen Zielsetzung, Gliederung in AP, Erstellung eines Ganttdiagramms zur Übersicht, Festlegen von Abschlussdata für einzelne AP, Kapazitätsplan(Humanressourcen)
;;;Risikoanalyse erstellen;Tobias Reis;;
;;;Wöchentlichen Aufwands- und Statusbericht erstellen;Erik Hennig;1/Woche;Aggregieren der Zeitaufwände, Übertragen in gesammelte Tabelle, Beschreiben der aufgelisteten Arbeiten, Abweichungen vom Projektplan und Gegenmaßnahmen erläutern
;;;Gruppenkonventionen treffen;Tobias Reis;;Rollen, Werkzeuge, Coding-Conventions, …
;Vorbereitende Arbeiten;;;;;
;;;Vorlagen erstellen;Erik Hennig;4;Vorlagen für Aufwandserfassung, wöchentliche Berichte erstellen, andere Dokumente zur Erleichterung der Arbeit (z.B. Terminkalender)
;;;Website erstellen;;;
;;;Werkzeuge einrichten;;;Git-Repo eröffnen, Jenkins-Server?
-;-;-;-;-;-;-
Theoretische Grundlagen;;;;;;
;Recherche;;;;;
;;;Thema recherchieren;jeder;;
;;;Recherchebericht erstellen;Marco Rempfer;;
;;;Lastenheft erstellen;Marco Rempfer;;
;;;Pflichtenheft erstellen;Marco Rempfer;;
;;;Glossar erstellen;Marco Rempfer;;
;;;Softwarestudie durchführen;Marco Rempfer;;
;Modellierung;;;;;
-;-;-;-;-;-;-
Praktische Umsetzung;;;;;;
;Tests;;;;;
;;;;;;
;Implementierung;;;;;
;;;;;;
;Qualitätssicherung und Dokumentation;;;;;
